案件ID,業者名,業者URL,区分,依頼担当,依頼日,依頼方法,見積ステータス,概算最小,概算最大,要現地調査,回答日,採用可否,次アクション,備考
PCO-2026-0619-001,日本防疫株式会社(西日本営業所),https://www.nihonboueki.co.jp/,本命(食品衛生専門),寺尾,2026-06-19,問い合わせフォーム,採用,50000,100000,要,2026-07-01,採用,現地調査・正式見積の進捗を確認(7/16以降3週間停滞),月額概算5-10万円(税抜)。担当:緒方様(連絡先はsupport@受信箱を参照)。6/23図面依頼→6/30現時点情報を送付→7/1概算回答→7/16依頼者が選定し連絡先共有済。7/9に緒方様から進捗照会あり
PCO-2026-0619-001,株式会社九州シー・アイ・シー(北九州営業所),https://www.cic-net.co.jp/,本命(福岡拠点・食品工場対応),寺尾,2026-06-19,問い合わせフォーム,採用,,,要(調査費は無料),2026-07-01,採用,🚨連絡先共有が未実施。至急テンプレDで結城様へ共有し現地調査を依頼,7/16に依頼者が日本防疫と併せて2社選定(00:59:42の選定確定通知=v2)。だが連絡先共有メールが送られておらず7/1以降こちらから連絡なし。概算困難のため要現地調査(調査費無料)。担当:結城様(連絡先はsupport@受信箱を参照)
PCO-2026-0619-001,東化研株式会社,https://www.azumakaken.com/,本命(HACCP特化),寺尾,2026-06-30,問い合わせフォーム,不通,,,未確定,,見送り,案件が選定済のため打診終了,6/30受付確認メールあり。その後担当者からの返信なし(原文ステータス:受付済・担当者返信待ち)
PCO-2026-0619-001,環境衛生薬品株式会社,https://www.kanyaku.co.jp/cms/service/pestcontrol,本命(月次レポート),寺尾,2026-06-30,問い合わせフォーム,不通,,,未確定,,見送り,案件が選定済のため打診終了,6/30受付確認メールあり。その後担当者からの返信なし(原文ステータス:受付済・担当者返信待ち)
PCO-2026-0619-001,ダスキン荒江ターミニックス,https://biz.duskin.jp/terminix/pro/,本命(全国大手),寺尾,2026-06-19,問い合わせフォーム,不通,,,未確定,,見送り,案件が選定済のため打診終了,自動受付メールのみ。担当者返信なし(原文ステータス:受付済・担当者返信待ち)
PCO-2026-0619-001,日本エージェント,https://japan-agent.co.jp/cleaning/hygiene/,対抗(福岡ローカル),寺尾,2026-07-02,問い合わせフォーム,不通,,,,,見送り,案件が選定済のため打診終了,7/2 送信完了画面を確認。その後担当者返信なし(原文ステータス:受付済・担当者返信待ち)
PCO-2026-0619-001,防除研究所,https://bouken7.com/,対抗(害虫・害獣対応),寺尾,2026-06-19,問い合わせフォーム,不通,,,未確定,,見送り,案件が選定済のため打診終了,自動受付メールのみ。担当者返信なし(原文ステータス:受付済・担当者返信待ち)
PCO-2026-0619-001,株式会社プログラント(PROGRANT),https://progrant.co.jp/,本命(食品工場・倉庫対応),寺尾,2026-06-19,問い合わせフォーム,不通,,,未確定,,見送り,案件が選定済のため打診終了,通常3営業日以内に返信予定との自動受付。実際の返信なし(原文ステータス:受付済・担当者返信待ち)
PCO-2026-0619-001,株式会社新栄アリックス,https://shinei-arix.co.jp/,対抗(北九州対応),寺尾,2026-06-19,問い合わせフォーム,不通,,,未確定,,見送り,案件が選定済のため打診終了,担当者確認後に連絡する旨の自動受付。実際の返信なし(原文ステータス:受付済・担当者返信待ち)
PCO-2026-0619-001,株式会社サニックス,https://sanix.jp/,対抗(福岡本社・法人対応),寺尾,2026-06-19,問い合わせフォーム,不通,,,未確定,,見送り,案件が選定済のため打診終了,自動受付メールのみ。担当者返信なし(原文ステータス:受付済・担当者返信待ち)
PCO-2026-0619-001,イカリ消毒 九州サービスセンター,https://www.ikari.co.jp/,本命(大手・福岡拠点),未割当,,,未依頼,,,,,,案件が選定済のため打診不要,7/2 郵便番号000-0000・住所なしで入力を試行するもフォームの入力制約により未送信。電話092-482-2281(原文ステータス:送信保留 入力制約)
PCO-2026-0619-001,防除サポート株式会社,https://www.big-advance.site/c/160/2204/service,対抗(福岡ローカル),未割当,,,未依頼,,,,,,案件が選定済のため打診不要,7/2 100文字以内の依頼文を入力済みだがreCAPTCHAのため未送信(原文ステータス:送信保留 reCAPTCHA)
PCO-2026-0619-001,株式会社福岡EH,https://www.fukuoka-eh.com/,対抗(福岡ローカル),未割当,,,未依頼,,,,,,案件が選定済のため打診不要,7/2 郵便番号000-0000・住所なしで入力を試行するも送信未完了(原文ステータス:送信保留 入力制約)
PCO-2026-0619-001,株式会社いきもの研究社,https://www.biorescue.jp/,対抗(飯塚近隣),未割当,,,未依頼,,,,,,案件が選定済のため打診不要,7/2 依頼内容を入力済みだがreCAPTCHAのため未送信(原文ステータス:送信保留 reCAPTCHA)
PCO-2026-0619-001,福岡県PCO協会(会員紹介),http://www.fukuoka-pco.com/,調達ルート,未割当,,,未依頼,,,,,,登録有資格業者を引く,予備ルート。未着手
SOL-2026-0718-001,竹内産業株式会社(エネルギー事業部),https://www.takeuchi-grp.co.jp/,本命(兵庫・産業用),寺尾,2026-07-28,メール,見積受領,70000,90000,無償で実施,2026-07-28,保留,比較ページ待ち,洗浄70000/草刈40000/セット90000(税抜)。水道有無で同額。架台2m以下想定。頑固汚れ・樹木伐採は対象外。担当:住本様(連絡先はsupport@受信箱を参照)
SOL-2026-0718-001,株式会社ライン(太陽光発電専門除草.com),https://solarzyoso.com/,対抗(除草専門),寺尾,2026-07-28,フォーム,辞退,,,,2026-07-29,見送り,—,高圧案件のみ対応のため辞退。本件は83kW=低圧。担当:原様(連絡先はsupport@受信箱を参照)
SOL-2026-0718-001,株式会社ライフメンテナンス(ソーラー事業部),http://solar-mente.com/,本命(福崎・洗浄専業),未割当,,,未依頼,,,,,,フリーダイヤル0120-775439へ電話しメールアドレス取得(人間側タスク・最優先),0790-24-4101/0120-775439(9-19時・日曜定休)。兵庫県神崎郡福崎町福田276-1。太陽光専用ドメインsolar-mente.comを保有＝太陽光が主力。兵庫県内は現地調査・見積無料
SOL-2026-0718-001,株式会社トータルメンテナンス,https://www.t-maintenance.com/solar-panels/,本命(姫路・最寄),未割当,,,未依頼,,,,,,問い合わせフォームまたは電話079-280-8083で打診(人間側タスク),佐用町から最も近い。兵庫県姫路市広畑区吾妻町1-11。メールアドレス未取得。Claude実行環境は全外部サイトが遮断されるためアクセス不可
DEN-2026-0805-001,関東電気保安協会,https://www.kdh.or.jp/forms/entrust/estimate/request/entry/,本命(協会・信頼性),未割当,,,未依頼,,,,,,追加ヒアリング完了後に委託申込・見積フォームから打診,外部委託承認制度の対象となる電気保安法人。委託申込/見積の専用フォームあり
DEN-2026-0805-001,日本テクノ株式会社(TECHNOキュービクル),https://cubicle-hoan.jp/,本命(全国大手),未割当,,,未依頼,,,,,,追加ヒアリング完了後に打診,全国68900件以上の実績。キュービクル総合サービス
DEN-2026-0805-001,株式会社オルテ,http://www.orte.co.jp/cubicle,対抗(関東ローカル),未割当,,,未依頼,,,,,,追加ヒアリング完了後に打診,電気保安法人。東京/神奈川/千葉/埼玉/山梨/静岡/栃木/茨城/群馬に対応
DEN-2026-0805-001,株式会社エスコ,https://www.esco-co.jp/service/cubicle/,対抗(電気保安法人),未割当,,,未依頼,,,,,,予備,2007年から電気主任技術者を社内に有する電気保安法人
DEN-2026-0805-001,エクスゲート(emi),https://emi-co.jp/cubicle/,対抗,未割当,,,未依頼,,,,,,予備,高圧受変電設備の保安管理・保守点検
DEN-2026-0805-001,全電協株式会社,https://www.zendenkyo.co.jp/,対抗,未割当,,,未依頼,,,,,,予備,キュービクル保安・点検
DEN-2026-0805-001,株式会社でんきかんりみらい,https://dk-mirai.com/,対抗,未割当,,,未依頼,,,,,,予備,キュービクル式高圧受電設備の保安管理
DEN-2026-0805-001,首都圏電気保安機構,https://denkinohoan.com/company/,調達ルート,未割当,,,未依頼,,,,,,予備,首都圏の電気保安法人
