"サービス","想定エリア","法人名","優先度","適合根拠","公式URL","窓口メール","電話番号","打診方法","即時打診可否","既存打診状況","送信前確認","根拠"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社GateHorse","S","飲食店特化・HACCP記録・24時間対応","https://gatehorse.com/pest-control","gatehorse0302@icloud.com","","メール","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","太洋化工株式会社","S","大阪の法人施設向けIPM・年間管理","https://www.taiyo-kako.co.jp/contents/category/service/","info@taiyo-kako.co.jp","","メール","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","有限会社大洋防疫研究所","S","大阪府登録・飲食店向け定期防除","https://taiyouboueki.co.jp/","info@taiyouboueki.co.jp","","メール","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","合資会社ユニバース","A","店舗・施設の定期予防メンテナンス","https://gaicyukuzyo-universe.com/","info@gaicyukuzyo-universe.com","","メール","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社テイクオフ","S","HACCPコーディネーターによる厨房衛生","https://www.takeoff9922.com/products/food-hygiene/","info@takeoff9922.com","","メール","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社ソニックシステム","S","大阪の飲食店・HACCP対応年間管理","https://sonic-system.com/","info@sonic-system.jp","06-6476-3805","メール","可","既存打診履歴あり：不達","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社ダストン","S","大阪の飲食店専門・定期防除","https://www.duston.jp/business/","info@duston.jp","06-6766-1233","メール","可","既存打診履歴あり：受付済(担当者返信待ち)","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社コンフォートライフ","S","大阪市・閉店後の定期防除","https://comfortlife.biz/hygiene.html","","06-6572-5566","電話（メール/フォーム案内を取得）","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","丸栄産業株式会社","S","飲食店・食品衛生・HACCP管理","https://maruei1961.com/content2.html","","","公式フォーム","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社リメイク","S","大阪市中心部の飲食店定期衛生管理","https://www.remake1121.co.jp/hygiene/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
